번호,종목코드,종목명,업종코드,업종명,상장주식수,자본금
514,5190,동성화학,32001,기초 화학물질 제조업,5335564,5531244000
515,25950,동신건설,64102,토목 건설업,8400000,4200000000
516,640,동아쏘시오홀딩스,116409,기타 금융업,6155346,30776730000
517,170900,동아에스티,32102,의약품 제조업,8443868,42219340000
518,88130,동아엘텍,32902,특수 목적용 기계 제조업,10662938,5575148000
519,28100,동아지질,64201,기반조성 및 시설물 축조관련 전문공사업,11500000,5750000000
520,282690,동아타이어,32201,고무제품 제조업,13733015,6866507500
521,41930,동아화성,32201,고무제품 제조업,15800000,8000000000
522,1520,동양,32303,"시멘트, 석회, 플라스터 및 그 제품 제조업",238684063,1.1985E+11
523,84670,동양고속,84902,육상 여객 운송업,2895569,16959295000
524,2900,동양물산,32902,특수 목적용 기계 제조업,136877565,68438782500
525,82640,동양생명,116501,보험업,161358585,8.06793E+11
526,60380,동양에스텍,32401,1차 철강 제조업,10000000,5000000000
527,79960,동양이엔피,32801,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",7860000,3930000000
528,8970,동양철관,32401,1차 철강 제조업,118885290,59442645000
529,228340,동양파일,32303,"시멘트, 석회, 플라스터 및 그 제품 제조업",20000000,10000000000
530,92780,동양피스톤,33001,자동차용 엔진 및 자동차 제조업,13168460,6584230000
531,88910,동우팜투테이블,31001,"도축, 육류 가공 및 저장 처리업",25831764,12915882000
532,94170,동운아나텍,32601,반도체 제조업,15758872,8075619000
533,49770,동원F&B,31007,기타 식품 제조업,3859124,19295620000
534,13120,동원개발,64101,건물 건설업,90808100,45404050000
535,18500,동원금속,33003,자동차 신품 부품 제조업,46754933,23377466500
536,6040,동원산업,10301,어로 어업,3677641,18388205000
537,30720,동원수산,10301,어로 어업,4653805,23269025000
538,14820,동원시스템즈,32202,플라스틱제품 제조업,25618511,1.29419E+11
539,163560,동일고무벨트,32201,고무제품 제조업,13650000,6825000000
540,109860,동일금속,32403,금속 주조업,7000000,3500000000
541,32960,동일기연,32602,전자부품 제조업,3407309,4953654500
542,4890,동일산업,32401,1차 철강 제조업,2425215,12126075000
543,2690,동일제강,32401,1차 철강 제조업,15000000,7500000000
544,23790,동일철강,32401,1차 철강 제조업,7345085,3672542500
545,5290,동진쎄미켐,32001,기초 화학물질 제조업,51414494,25707247000
546,25900,동화기업,31602,나무제품 제조업,20198382,10599191000
547,20,동화약품,32102,의약품 제조업,27931470,27931470000
548,150,두산,137105,회사 본부 및 경영 컨설팅 서비스업,16523835,1.23738E+11
549,241560,두산밥캣,32902,특수 목적용 기계 제조업,100249166,50124583000
550,42670,두산인프라코어,32902,특수 목적용 기계 제조업,215931625,1.07966E+12
551,34020,두산중공업,32901,일반 목적용 기계 제조업,374637255,1.87319E+12
552,336260,두산퓨얼셀,32801,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",65493726,8184422600
553,16740,두올,33003,자동차 신품 부품 제조업,27066680,67666700000
554,73190,듀오백,33201,가구 제조업,11968040,5984020000
555,176750,듀켐바이오,32102,의약품 제조업,8858687,4429343500
556,30350,드래곤플라이,105802,소프트웨어 개발 및 공급업,17107393,8553696500
557,203650,드림시큐리티,105802,소프트웨어 개발 및 공급업,50605754,5060575400
558,223250,드림씨아이에스,137001,자연과학 및 공학 연구개발업,5595970,2797985000
